Title,Company,Date Posted
Sales Person,Y.F Lamchoo Co Ltd,14h ago
Cashier,Y.F Lamchoo Co Ltd,14h ago
Storekeeper/helper,Y.F Lamchoo Co Ltd,14h ago
Director's Chauffeur (Coursier),DY & Jo Business Companigne LTD,2d ago
Sous Chef(Chef de partie),DY & Jo Business Companigne LTD,2d ago
Bar maître,DY & Jo Business Companigne LTD,2d ago
Serveur/euse en salle,DY & Jo Business Companigne LTD,2d ago
Assitant Aide cuisinier (commis),DY & Jo Business Companigne LTD,2d ago
Database Administrator,Motravay.mu,5d ago
Webmaster,Motravay.mu,5d ago
Support Officer,Jyll Agency ltd,6d ago
Business Development Manager,Motravay.mu,1w ago
Client Manager,NEUTRATECH(Mauritius) CO LTD,2w ago
Telemarketing Agent,NEUTRATECH(Mauritius) CO LTD,2w ago
Marketing Assistant,NEUTRATECH(Mauritius) CO LTD,2w ago
Technician,NEUTRATECH(Mauritius) CO LTD,2w ago
Junior AI Automation Consultant,Motravay.mu,2w ago
HR Officer,Motravay.mu,2w ago
Network Technician,Mascareignes Group,3w ago
CCTV Technician,Mascareignes Group,3w ago
Administrative Secretary,Mascareignes Group,3w ago
Sales Representative (Showroom),Mascareignes Group,3w ago
Junior Software Developer,Motravay.mu,3w ago
Coach Pédagogique,EURO CRM,4w ago
Commis,Mystik Lifestyle Hotel,1m ago
Sous Chef,Mystik Lifestyle Hotel,1m ago
EXECUTIVE SALES REPRESENTATIVE,NEUTRATECH(Mauritius) CO LTD,1m ago
Delivery Salesman / Salesman-Driver,Flemingo (Groupe Roland Maurel),1m ago
Food Process Operative,Fraisier De Curepipe ltd,1m ago
Sales & Business Development Executive,Motravay.mu,1m ago
Directeur adjoint/Directrice adjointe,Le Domaine de Grand Baie,1m ago
SECURITY OFFICER,Fraisier De Curepipe ltd,1m ago
Senior System Administrator,Motravay.mu,1m ago
ADMINISTRATIVE ASSISTANT (CENTRAL MONITORING STATION),Avacor Ltd,1m ago
Junior / Semi-Senior / Senior Auditors,Bacha and Bacha,1m ago
Store Sales Representative - Quincaillerie,Motravay.mu,1m ago
"Un (e) Coordinateur (trice) de projet , Transformation et automatisation",Colbert Service Center Ltd,1m ago
Un/Une Assistant/e Juridique,Colbert Service Center Ltd,1m ago
Collaborateur(trice) Junior Comptable - Pôle Clients,Motravay.mu,2m ago
Marketing Manager,Motravay.mu,2m ago
Senior Business Systems Consultant,Motravay.mu,2m ago
Operation Administrator,Motravay.mu,2m ago
Chargé(e) de Comptabilité Clients,Motravay.mu,2m ago
Senior Fullstack Developer,Motravay.mu,2m ago
SECURITY GUARDS (ALL ACCROSS THE ISLAND),Avacor Ltd,2m ago
CHIEF SECURITY OFFICER  (WEST AND NORTH),Avacor Ltd,2m ago
"DRIVER/SUPERVISOR (PORT LOUIS, NORTH AND WEST)",Avacor Ltd,2m ago
CONTROL CENTRE COORDINATOR (CUREPIPE),Avacor Ltd,2m ago
CMS OPERATOR (CUREPIPE),Avacor Ltd,2m ago
StoreKeeper,Motravay.mu,2m ago
Accounts Officer,Motravay.mu,2m ago
Parts Advisor,Motravay.mu,2m ago
Senior Business System Consultant,Motravay.mu,2m ago
Technicien Service Desk (H/F),Motravay.mu,2m ago
Procurement Admin Officer,Motravay.mu,2m ago
Team Leader Comptabilité Clients / Fournisseurs (AP-AR),Motravay.mu,2m ago
Réceptionniste  Immobilier (CDI),Motravay.mu,2m ago
Senior Fullstack Developer,Motravay.mu,2m ago
QUALITY ASSURANCE OFFICER,Fraisier De Curepipe ltd,2m ago
Assistant Maintenance Manager,L'Aventure du sucre,3m ago
Pâtissier(e),L'Aventure du sucre,3m ago
Cuisinier,L'Aventure du sucre,3m ago
Front Officer,L'Aventure du sucre,3m ago
Kitchen Operative (Plongeur),L'Aventure du sucre,3m ago
Waiter,L'Aventure du sucre,3m ago
Aide Patissier,L'Aventure du sucre,3m ago
Maintenance Technician,L'Aventure du sucre,3m ago
Corporate Travel Executive (English speakers),Concentrix CVG (Mauritius) ltd,6m ago
TALENT ACQUISITION REPRESENTATIVE,Concentrix CVG (Mauritius) ltd,7m ago
GUEST SPECIALIST  HOSPITALITY INDUSTRY,Concentrix CVG (Mauritius) ltd,7m ago
Chef de Partie,L'Aventure du sucre,9m ago
Senior Backend Engineer,Motravay.mu,10m ago
Comptable Confirmé,Colbert Service Center Ltd,13m ago
